"","X.1","X","�..Reef.ID","Reef.Name","Ocean","Country","State.Province.Island","City.Town","Year","Date","Depth","Organism.Code","S1","S2","S3","S4","Errors.","What.errors.","Average_bleaching","ClimSST","Temperature_Kelvin","Temperature_Mean","Temperature_Minimum","Temperature_Maximum","Temperature_Kelvin_Standard_Deviation","Windspeed","SSTA","SSTA_Standard_Deviation","SSTA_Mean","SSTA_Minimum","SSTA_Maximum","SSTA_Frequency","SSTA_Frequency_Standard_Deviation","SSTA_FrequencyMax","SSTA_FrequencyMean","SSTA_DHW","SSTA_DHW_Standard_Deviation","SSTA_DHWMax","SSTA_DHWMean","TSA","TSA_Standard_Deviation","TSA_Minimum","TSA_Maximum","TSA_Mean","TSA_Frequency","TSA_Frequency_Standard_Deviation","TSA_FrequencyMax","TSA_FrequencyMean","TSA_DHW","TSA_DHW_Standard_Deviation","TSA_DHWMax","TSA_DHWMean","Region","Diversity","rate_of_SST_change","Longitude.Degrees","Latitude.Degrees","optional","kd490_value","PAR_value"
"2101",2101,4083,"177.12.08E.17.47.39S","Sunflower","Pacific","Fiji","Mamanucas","Nandi",2003,"20-Jun-03",14,"Bleaching (% of population)",0,0,2,1,FALSE,"",0.75,299.06,299.44,300.71,296.08,304.5,1.49,8,-0.41,0.81,0,-3.33,2.77,5,4.3,20,5,2.27,2.58,17.95,1.71,-2.91,1.49,-6.26,2.14,-1.63,0,1.36,5,1,0,0.95,6.68,0.33,"ERG111",395,0.011515151,177.2022222,-17.79416667,TRUE,0.03702701015317,NA
"2102",2102,4085,"177.12.08E.17.47.39S","Sunflower","Pacific","Fiji","Mamanucas","Nandi",2003,"21-Jul-03",4,"Bleaching (% of population)",5,0,0,0,FALSE,"",1.25,298.78,298.15,300.71,296.08,304.5,1.49,7,-0.92,0.81,0,-3.33,2.77,3,4.3,20,5,2.27,2.58,17.95,1.71,-4.2,1.49,-6.26,2.14,-1.63,0,1.36,5,1,0,0.95,6.68,0.33,"ERG111",395,0.011515151,177.2022222,-17.79416667,TRUE,0.037943816791833,NA
"2103",2103,4087,"177.12.08E.17.47.39S","Sunflower","Pacific","Fiji","Mamanucas","Nandi",2004,"10-Sep-04",14,"Bleaching (% of population)",0,0,1,1,FALSE,"",0.5,299.73,298.91,300.71,296.08,304.5,1.49,5,-0.11,0.81,0,-3.33,2.77,1,4.3,20,5,0,2.58,17.95,1.71,-3.44,1.49,-6.26,2.14,-1.63,0,1.36,5,1,0,0.95,6.68,0.33,"ERG111",395,0.011515151,177.2022222,-17.79416667,TRUE,0.0347529942957429,NA
"2104",2104,4089,"177.12.08E.17.47.39S","Sunflower","Pacific","Fiji","Mamanucas","Nandi",2004,"30-Nov-04",4,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,301.71,299.27,300.71,296.08,304.5,1.49,7,-1.76,0.81,0,-3.33,2.77,0,4.3,20,5,0,2.58,17.95,1.71,-3.08,1.49,-6.26,2.14,-1.63,0,1.36,5,1,0,0.95,6.68,0.33,"ERG111",395,0.011515151,177.2022222,-17.79416667,TRUE,0.0350006807259843,NA
"2105",2105,4091,"177.12.08E.17.47.39S","Sunflower","Pacific","Fiji","Mamanucas","Nandi",2007,"7-Sep-07",8,"Bleaching (% of population)",25,25,25,NA,TRUE,"did not do S4",25,299.73,299.95,300.71,296.08,304.5,1.49,6,0.99,0.81,0,-3.33,2.77,11,4.3,20,5,14.44,2.58,17.95,1.71,-2.39,1.49,-6.26,2.14,-1.63,0,1.36,5,1,0,0.95,6.68,0.33,"ERG111",395,0.011515151,177.2022222,-17.79416667,TRUE,0.0315367186953041,NA
"2106",2106,4093,"177.13.33E.17.42.11S","Navini","Pacific","Fiji","Mamanucas","Nandi",2003,"27-Jun-03",5,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,299.06,299.63,300.86,296.58,304.75,1.51,5,-0.08,0.8,0,-2.88,2.42,1,4.91,24,5,0,2.64,17.67,1.72,-2.91,1.51,-5.96,2.21,-1.67,1,1.1,5,0,0,0.77,4.33,0.26,"ERG111",395,0.011515151,177.2258333,-17.70305556,TRUE,0.0774360001087189,NA
"2107",2107,4095,"177.16.04E.17.39.06S","Treasure Island","Pacific","Fiji","Mamanucas","Nandi",2003,"17-Oct-03",1,"Bleaching (% of population)",2,1,1,3,FALSE,"",1.75,300.98,300.04,300.91,296.58,304.75,1.54,6,-0.06,0.8,0,-3.09,2.31,4,4.85,23,5,0,2.53,17.1,1.61,-2.6,1.54,-6.05,2.1,-1.71,1,0.96,4,0,0,0.76,6.86,0.22,"ERG111",395,0.011515151,177.2677778,-17.65166667,TRUE,0.0515770018100739,NA
"2108",2108,4097,"177.16.06E.18.03.43S","Likuri Pass North Wall","Pacific","Fiji","","",2003,"11-Jul-03",10,"Bleaching (% of population)",0,0,NA,NA,TRUE,"only half of belt transect completed",0,298.85,298.48,300.46,296.17,304.61,1.4,8,-0.8,0.81,0,-3.2,3.81,2,4.66,20,4,1.02,2.58,13.29,1.62,-3.58,1.4,-5.88,2.54,-1.59,0,1.27,6,0,0,0.87,8.76,0.3,"ERG111",395,0.009873737,177.2676667,-18.05716667,TRUE,0.0230410005897284,NA
"2109",2109,4099,"177.16.06E.18.03.90S","Likuri Pass South outer wall","Pacific","Fiji","","",2003,"11-Jul-03",10,"Bleaching (% of population)",0,0,NA,NA,TRUE,"only half of belt transect completed",0,298.85,298.48,300.46,296.17,304.61,1.4,8,-0.8,0.81,0,-3.2,3.81,2,4.66,20,4,1.02,2.58,13.29,1.62,-3.58,1.4,-5.88,2.54,-1.59,0,1.27,6,0,0,0.87,8.76,0.3,"ERG111",395,0.009873737,177.2676667,-18.065,TRUE,0.0230410005897284,NA
"2110",2110,4101,"177.16.32E.17.43.14S","Malamala","Pacific","Fiji","Mamanucas","Nandi",2003,"1-Jul-03",7,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,298.96,299.39,300.87,296.37,304.76,1.54,5,-0.24,0.8,0,-3.13,2.47,5,4.35,20,5,4.83,2.41,14.82,1.58,-3.17,1.54,-6.19,2.2,-1.68,1,0.98,4,0,0,0.7,3.32,0.27,"ERG111",395,0.011515151,177.2755556,-17.72055556,TRUE,0.0617210008203983,NA
"2111",2111,4103,"177.18.505E.17.33.795S","Samu's Reef","Pacific","Fiji","Viti Levu","Lautoka",2007,"27-Oct-07",10,"Bleaching (% of population)",10,10,10,10,FALSE,"",10,301.48,301.97,301,296.54,304.83,1.54,5,1.46,0.77,0,-3.06,2.45,15,4.82,24,4,12.03,2.61,17.11,1.53,-0.78,1.54,-6.21,2.07,-1.74,0,0.95,4,0,0,0.67,4.19,0.23,"ERG111",395,0.011515151,177.3084167,-17.56325,TRUE,0.0475579984486103,NA
"2112",2112,4105,"177.18.505E.17.33.795S","Samu's Reef","Pacific","Fiji","Viti Levu","Lautoka",2008,"22-Nov-08",10,"Bleaching (% of population)",2,1,0,1,FALSE,"",1,302.13,303.29,301,296.54,304.83,1.54,4,1.99,0.77,0,-3.06,2.45,9,4.82,24,4,4.66,2.61,17.11,1.53,0.53,1.54,-6.21,2.07,-1.74,0,0.95,4,0,0,0.67,4.19,0.23,"ERG111",395,0.011515151,177.3084167,-17.56325,TRUE,0.0477580018341541,NA
"2113",2113,4107,"177.18.911E.16.57.658S","Vawa","Pacific","Fiji","Yasawas","Eastern side of Vawa Island",2003,"29-Jul-03",4.5,"Bleaching (% of population)",0,0,0,0,TRUE,"S4 of substrate incomplete",0,298.73,299.05,300.53,296.33,304.67,1.46,4,0.19,0.81,0,-3.11,3.72,1,4.52,18,5,0,2.69,14.7,1.75,-3.12,1.46,-5.83,2.5,-1.63,0,1.62,7,1,0,1.14,8.59,0.43,"ERG111",395,0.013611111,177.3151944,-16.96097222,TRUE,0.0428000018000603,NA
"2114",2114,4109,"177.19.199E.16.57.221S","Whiskey Reef (off western shore of Macatawa Levu Island)","Pacific","Fiji","Tavewa/Yasawas","West Side Watersports",2006,"10-Sep-06",10,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,299.59,299.96,300.54,296.26,305.33,1.43,4,1.03,0.81,0,-3.04,3.28,11,4.14,22,5,2.46,2.36,15.44,1.71,-2.14,1.43,-5.84,3.22,-1.56,1,1.21,5,1,0,1.02,5.88,0.45,"ERG111",395,0.013611111,177.3199722,-16.95369444,TRUE,0.040978633826992,NA
"2115",2115,4111,"177.19.199E.16.57.221S","Whiskey Reef (off western shore of Macatawa Levu Island)","Pacific","Fiji","Tavewa/Yasawas","West Side Watersports",2007,"27-Nov-07",10,"Bleaching (% of population)",10,5,NA,NA,TRUE,"only did half of belt",7.5,301.53,300.6,300.54,296.26,305.33,1.43,3,-0.14,0.81,0,-3.04,3.28,9,4.14,22,5,6.87,2.36,15.44,1.71,-1.51,1.43,-5.84,3.22,-1.56,1,1.21,5,1,0,1.02,5.88,0.45,"ERG111",395,0.013611111,177.3199722,-16.95369444,TRUE,0.0306000001728535,NA
"2116",2116,4113,"177.20.21E.17.34.99S","Vuna Qiliqili","Pacific","Fiji","Lautoka","",2003,"13-May-03",3,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,300.46,302.54,301.07,296.95,305.17,1.58,5,0.99,0.82,0,-3.46,2.73,4,4.82,21,5,3.23,2.73,18.22,1.78,-0.26,1.58,-5.85,2.35,-1.73,1,0.94,4,0,1.35,0.75,4.4,0.26,"ERG111",395,0.011515151,177.3368333,-17.58316667,TRUE,0.0914790034294128,NA
"2117",2117,4115,"177.21.20E.17.32.34S","Nakubu Reef","Pacific","Fiji","Lautoka","",2003,"12-May-03",3,"Bleaching (% of population)",0,0,5,0,FALSE,"",1.25,300.39,302.57,301.06,296.63,305.23,1.57,5,1.07,0.8,0,-3.36,3.04,3,4.77,21,5,3.84,2.69,18.45,1.64,-0.24,1.57,-6.17,2.41,-1.74,1,1.25,5,0,1.35,0.93,6.9,0.3,"ERG111",395,0.011515151,177.3533333,-17.539,TRUE,0.0918029993772507,NA
"2118",2118,4117,"177.21.46E.16.55.08S","Rocky Bay","Pacific","Fiji","Yasawas","West side of Tavewa",2003,"2-Aug-03",6.5,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,298.73,298.82,300.48,296.23,304.54,1.45,7,0.07,0.82,0,-3.02,3.83,0,4.83,21,5,0,2.52,13.25,1.78,-3.23,1.45,-5.81,2.49,-1.56,0,1.52,8,1,0,1.06,8.9,0.41,"ERG111",395,0.013611111,177.3576667,-16.918,TRUE,0.0405568914670318,NA
"2119",2119,4119,"177.23.125E.16.54.843S","Oarmans Bay","Pacific","Fiji","Nacula Island","Oarsman Bay",2006,"11-May-06",5.5,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,299.84,301.05,300.48,296.23,304.54,1.45,8,0.16,0.82,0,-3.02,3.83,3,4.83,21,5,2.19,2.52,13.25,1.78,-1,1.45,-5.81,2.49,-1.56,1,1.52,8,1,1.87,1.06,8.9,0.41,"ERG111",395,0.013611111,177.3854167,-16.91405556,TRUE,0.0716670006513596,NA
"2120",2120,4121,"177.23.125E.16.54.843S","Oarmans Bay","Pacific","Fiji","Nacula Island","Oarsman Bay",2007,"11-Nov-07",3,"Bleaching (% of population)",1,1,1,1,FALSE,"",1,301.18,301.14,300.48,296.23,304.54,1.45,3,0.81,0.82,0,-3.02,3.83,15,4.83,21,5,9.23,2.52,13.25,1.78,-0.91,1.45,-5.81,2.49,-1.56,1,1.52,8,1,0,1.06,8.9,0.41,"ERG111",395,0.013611111,177.3854167,-16.91405556,TRUE,0.0382091968552518,NA
"2121",2121,4123,"177.23.236E.16.52.543S","Wonderland (off western shore of Nacula Island)","Pacific","Fiji","Tavewa/Tasawas","West Side Watersports",2006,"10-Sep-06",5,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,299.47,299.54,300.49,295.29,304.27,1.43,4,0.6,0.83,0,-3.85,2.79,12,4.39,22,5,1.18,2.46,18,1.78,-2.6,1.43,-6.84,2.12,-1.64,2,1.03,4,1,0,0.8,5.65,0.32,"ERG111",395,0.013611111,177.3872778,-16.87572222,TRUE,0.0261840000748634,NA
"2122",2122,4125,"177.23.236E.16.52.543S","Wonderland (off western shore of Nacula Island)","Pacific","Fiji","Tavewa/Tasawas","West Side Watersports",2007,"26-Nov-07",5,"Bleaching (% of population)",0,0,NA,NA,TRUE,"only did half of belt",0,301.52,300.85,300.49,295.29,304.27,1.43,3,0.24,0.83,0,-3.85,2.79,11,4.39,22,5,7.56,2.46,18,1.78,-1.29,1.43,-6.84,2.12,-1.64,0,1.03,4,1,0,0.8,5.65,0.32,"ERG111",395,0.013611111,177.3872778,-16.87572222,TRUE,0.0470919981598854,NA
"2123",2123,4127,"177.35.81E.18.10.81S","Tukituki, Vatukarasa Reef","Pacific","Fiji","Coral Coast","AquaSafaris",2006,"1-Aug-06",8,"Bleaching (% of population)",0,0,NA,NA,TRUE,"only did half of transect",0,298.55,298.59,300.18,296.01,303.94,1.37,8,-0.18,0.8,0,-3.38,2.63,10,4.06,18,4,3.04,2.46,16.93,1.47,-3.09,1.37,-5.67,2.25,-1.49,2,1.35,6,1,0,0.97,7.92,0.34,"ERG111",395,0.009873737,177.5968333,-18.18016667,TRUE,0.0356216516594266,NA
"2124",2124,4130,"177.35.81E.18.10.81S","Tukituki, Vatukarasa Reef","Pacific","Fiji","Coral Coast","AquaSafaris",2007,"1-Nov-07",8,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,300.45,300.79,300.18,296.01,303.94,1.37,5,1.2,0.8,0,-3.38,2.63,13,4.06,18,4,10.12,2.46,16.93,1.47,-0.89,1.37,-5.67,2.25,-1.49,0,1.35,6,1,0,0.97,7.92,0.34,"ERG111",395,0.009873737,177.5968333,-18.18016667,TRUE,0.0310778007143879,NA
"2125",2125,4131,"177.35.81E.18.10.81S","Tukituki, Vatukarasa Reef","Pacific","Fiji","Coral Coast","AquaSafaris",2007,"1-Nov-07",15,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,300.45,300.79,300.18,296.01,303.94,1.37,5,1.2,0.8,0,-3.38,2.63,13,4.06,18,4,10.12,2.46,16.93,1.47,-0.89,1.37,-5.67,2.25,-1.49,0,1.35,6,1,0,0.97,7.92,0.34,"ERG111",395,0.009873737,177.5968333,-18.18016667,TRUE,0.0310778007143879,NA
"2126",2126,4134,"177.35.81E.18.10.81S","Tukituki, Vatukarasa Reef","Pacific","Fiji","Coral Coast","AquaSafaris",2008,"19-Nov-08",6,"Bleaching (% of population)",0,0,NA,NA,TRUE,"only did half of transect",0,300.96,301.51,300.18,296.01,303.94,1.37,5,1.41,0.8,0,-3.38,2.63,6,4.06,18,4,3.65,2.46,16.93,1.47,-0.17,1.37,-5.67,2.25,-1.49,0,1.35,6,1,0,0.97,7.92,0.34,"ERG111",395,0.009873737,177.5968333,-18.18016667,TRUE,0.0316311826661706,NA
"2127",2127,4135,"177.35.81E.18.10.81S","Tukituki, Vatukarasa Reef","Pacific","Fiji","Coral Coast","AquaSafaris",2008,"19-Nov-08",14,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,300.96,301.51,300.18,296.01,303.94,1.37,5,1.41,0.8,0,-3.38,2.63,6,4.06,18,4,3.65,2.46,16.93,1.47,-0.17,1.37,-5.67,2.25,-1.49,0,1.35,6,1,0,0.97,7.92,0.34,"ERG111",395,0.009873737,177.5968333,-18.18016667,TRUE,0.0316311826661706,NA
"2128",2128,4138,"177.36.09E.18.11.50S","Cowrie Crawl","Pacific","Fiji","Coral Coast","Aquasafari",2006,"1-Aug-06",11,"Bleaching (% of population)",0,0,NA,NA,TRUE,"only did half of transect",0,298.55,298.59,300.18,296.01,303.94,1.37,8,-0.18,0.8,0,-3.38,2.63,10,4.06,18,4,3.04,2.46,16.93,1.47,-3.09,1.37,-5.67,2.25,-1.49,2,1.35,6,1,0,0.97,7.92,0.34,"ERG111",395,0.009873737,177.6015,-18.19166667,TRUE,0.035591524341597,NA
"2129",2129,4139,"177.36.09E.18.11.50S","Cowrie Crawl","Pacific","Fiji","Coral Coast","Aquasafari",2006,"1-Aug-06",15,"Bleaching (% of population)",0,0,NA,NA,TRUE,"only did half of transect",0,298.55,298.59,300.18,296.01,303.94,1.37,8,-0.18,0.8,0,-3.38,2.63,10,4.06,18,4,3.04,2.46,16.93,1.47,-3.09,1.37,-5.67,2.25,-1.49,2,1.35,6,1,0,0.97,7.92,0.34,"ERG111",395,0.009873737,177.6015,-18.19166667,TRUE,0.035591524341597,NA
"2130",2130,4142,"177.36.09E.18.11.50S","Cowrie Crawl","Pacific","Fiji","Coral Coast","Aquasafari",2007,"31-Oct-07",7,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,300.45,300.79,300.18,296.01,303.94,1.37,5,1.2,0.8,0,-3.38,2.63,13,4.06,18,4,10.12,2.46,16.93,1.47,-0.89,1.37,-5.67,2.25,-1.49,0,1.35,6,1,0,0.97,7.92,0.34,"ERG111",395,0.009873737,177.6015,-18.19166667,TRUE,0.0297651176616432,NA
"2131",2131,4143,"177.36.09E.18.11.50S","Cowrie Crawl","Pacific","Fiji","Coral Coast","Aquasafari",2007,"31-Oct-07",15,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,300.45,300.79,300.18,296.01,303.94,1.37,5,1.2,0.8,0,-3.38,2.63,13,4.06,18,4,10.12,2.46,16.93,1.47,-0.89,1.37,-5.67,2.25,-1.49,0,1.35,6,1,0,0.97,7.92,0.34,"ERG111",395,0.009873737,177.6015,-18.19166667,TRUE,0.0297651176616432,NA
"2132",2132,4146,"177.36.09E.18.11.50S","Cowrie Crawl","Pacific","Fiji","Coral Coast","Aquasafari",2008,"19-Nov-08",6,"Bleaching (% of population)",0,0,NA,NA,TRUE,"only did half of transect",0,300.96,301.51,300.18,296.01,303.94,1.37,5,1.41,0.8,0,-3.38,2.63,6,4.06,18,4,3.65,2.46,16.93,1.47,-0.17,1.37,-5.67,2.25,-1.49,0,1.35,6,1,0,0.97,7.92,0.34,"ERG111",395,0.009873737,177.6015,-18.19166667,TRUE,0.0292000006884336,NA
"2133",2133,4147,"177.36.09E.18.11.50S","Cowrie Crawl","Pacific","Fiji","Coral Coast","Aquasafari",2008,"19-Nov-08",11,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,300.96,301.51,300.18,296.01,303.94,1.37,5,1.41,0.8,0,-3.38,2.63,6,4.06,18,4,3.65,2.46,16.93,1.47,-0.17,1.37,-5.67,2.25,-1.49,0,1.35,6,1,0,0.97,7.92,0.34,"ERG111",395,0.009873737,177.6015,-18.19166667,TRUE,0.0292000006884336,NA
"2134",2134,4149,"177.4.54.8E.17.34.11.4S","Magic Mushrooms","Pacific","Fiji","Nadroga Navosa","Nadi",2004,"3-Dec-04",6,"Bleaching (% of population)",1,0,1,1,FALSE,"",0.75,302.04,299.95,300.91,295.92,304.85,1.48,7,-1.42,0.82,0,-3.39,3.48,0,5.55,25,4,0,2.77,19.17,1.66,-2.62,1.48,-6.64,2.27,-1.65,0,1.19,4,0,0,0.9,6.8,0.3,"ERG111",395,0.011515151,177.0818889,-17.56983333,TRUE,0.0261330008506775,NA
"2135",2135,4151,"177.40.50E.18.10.60S","Kingdom Hall","Pacific","Fiji","Votua","",2003,"22-Jul-03",1,"Bleaching (% of population)",20,1,10,1,FALSE,"",8,262.15,298.4666667,300.1333333,296.01,303.7933333,1.396666667,8,-0.386666667,0.81,0,-3.286666667,2.826666667,1.666666667,4.57,19.33333333,5,0,2.55,15.33333333,1.653333333,-3.24,1.396666667,-5.69,2.076666667,-1.56,1.666666667,1.303333333,5.666666667,0,0,0.846666667,6.196666667,0.28,"ERG111",395,0.009873737,177.6503611,-18.19969444,TRUE,0.0383304751951,NA
"2136",2136,4153,"177.41.5.8E.18.12.29.4S","The Edge","Pacific","Fiji","Coral Coast","Diveaway at Hideaway",2007,"30-Oct-07",15,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,300.23,300.44,300.13,296.01,303.75,1.4,6,1.06,0.81,0,-3.28,3.22,13,4.74,19,5,7.68,2.59,15.97,1.64,-1.26,1.4,-5.69,2.04,-1.55,0,1.39,6,0,0,0.89,7.27,0.28,"ERG111",395,0.009873737,177.6849444,-18.20816667,TRUE,0.0297640924281835,NA
"2137",2137,4155,"177.41.5.8E.18.12.29.4S","The Edge","Pacific","Fiji","Coral Coast","Diveaway at Hideaway",2008,"20-Nov-08",15,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,300.9,301.48,300.13,296.01,303.75,1.4,5,1.42,0.81,0,-3.28,3.22,13,4.74,19,5,5.28,2.59,15.97,1.64,-0.22,1.4,-5.69,2.04,-1.55,1,1.39,6,0,0,0.89,7.27,0.28,"ERG111",395,0.009873737,177.6849444,-18.20816667,TRUE,0.0317018447632775,NA
"2138",2138,4157,"177.42.77E.18.13.22S","Morgan's Wall","Pacific","Fiji","Votua","",2003,"23-Jul-03",11,"Bleaching (% of population)",1,0,2,10,FALSE,"",3.25,298.48,298.2,300.13,296.01,303.86,1.39,4,-0.53,0.8,0,-3.35,2.49,1,4.35,18,5,0,2.5,15.68,1.61,-3.51,1.39,-5.69,2.14,-1.57,1,1.36,7,0,0,0.81,5.44,0.26,"ERG111",395,0.009873737,177.7128333,-18.22033333,TRUE,0.0383291166740924,NA
"2139",2139,4159,"177.7.17E.17.43.18S","Castaway Cut","Pacific","Fiji","Mamanucas","",2004,"16-Sep-04",3,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,299.99,298.36,300.79,296.08,304.66,1.51,9,-0.87,0.85,0,-3.04,2.93,0,5.18,25,5,0,2.71,18.16,1.94,-4.08,1.51,-6.35,2.22,-1.64,0,1.5,5,1,0,1.12,6.72,0.46,"ERG111",395,0.011515151,177.1213889,-17.72166667,TRUE,0.0472000017762184,NA
"2140",2140,4161,"177.7.24E.17.44.28S","Inner Barrier SW Qalito Island","Pacific","Fiji","Mamanucas","",2004,"10-Nov-04",3,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,301.49,299.45,300.79,296.08,304.66,1.51,3,-1.27,0.85,0,-3.04,2.93,0,5.18,25,5,0,2.71,18.16,1.94,-2.99,1.51,-6.35,2.22,-1.64,0,1.5,5,1,0,1.12,6.72,0.46,"ERG111",395,0.011515151,177.1233333,-17.74111111,TRUE,0.0364330001175404,NA
"2141",2141,4163,"177.7.35E.17.43.56S","Inner Barrier/Castaway Resort","Pacific","Fiji","Mamanucas","",2004,"23-Nov-04",5,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,301.64,300.13,300.79,296.08,304.66,1.51,6,-0.79,0.85,0,-3.04,2.93,0,5.18,25,5,0,2.71,18.16,1.94,-2.31,1.51,-6.35,2.22,-1.64,0,1.5,5,1,0,1.12,6.72,0.46,"ERG111",395,0.011515151,177.1263889,-17.73222222,TRUE,0.0364330001175404,NA
"2142",2142,4165,"177.7.47E.17.43.52S","North Castaway","Pacific","Fiji","Mamanucas","Nandi, Cousteau Rock",2003,"19-Jun-03",5,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,299.16,299.69,300.79,296.08,304.66,1.51,8,-0.23,0.85,0,-3.04,2.93,1,5.18,25,5,1.74,2.71,18.16,1.94,-2.75,1.51,-6.35,2.22,-1.64,0,1.5,5,1,0,1.12,6.72,0.46,"ERG111",395,0.011515151,177.1297222,-17.73111111,TRUE,0.0630479976534843,NA
"2143",2143,4167,"177.7.47E.17.43.52S","North Castaway","Pacific","Fiji","Mamanucas","Nandi, Cousteau Rock",2004,"10-Sep-04",5,"Bleaching (% of population)",0,1,1,0,FALSE,"",0.5,299.79,299.05,300.79,296.08,304.66,1.51,5,-0.06,0.85,0,-3.04,2.93,0,5.18,25,5,0,2.71,18.16,1.94,-3.39,1.51,-6.35,2.22,-1.64,0,1.5,5,1,0,1.12,6.72,0.46,"ERG111",395,0.011515151,177.1297222,-17.73111111,TRUE,0.0480169989168644,NA
"2144",2144,4169,"177.8.15E.17.44.19S","House Reef, Raviniake","Pacific","Fiji","Mamanucas","",2004,"7-Sep-04",3,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,299.61,299.23,300.79,296.08,304.66,1.51,5,0.22,0.85,0,-3.04,2.93,0,5.18,25,5,0,2.71,18.16,1.94,-3.21,1.51,-6.35,2.22,-1.64,0,1.5,5,1,0,1.12,6.72,0.46,"ERG111",395,0.011515151,177.1375,-17.73861111,TRUE,0.0480169989168644,NA
"2145",2145,4171,"177.8.26E.17.44.8S","Castaway Wall","Pacific","Fiji","Mamanucas","",2004,"29-Nov-04",4,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,301.8,299.75,300.79,296.08,304.66,1.51,7,-1.35,0.85,0,-3.04,2.93,0,5.18,25,5,0,2.71,18.16,1.94,-2.69,1.51,-6.35,2.22,-1.64,0,1.5,5,1,0,1.12,6.72,0.46,"ERG111",395,0.011515151,177.1405556,-17.73555556,TRUE,0.0364330001175404,NA
"2146",2146,4173,"177.8.28E.17.45.35S","Fragle Rock","Pacific","Fiji","Mamanucas","",2004,"10-Nov-04",3,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,301.4,300.02,300.7,296.08,304.47,1.46,3,-0.62,0.84,0,-2.99,4.08,0,5.16,24,5,0,2.77,18.3,1.85,-2.22,1.46,-6.15,2.23,-1.53,0,1.23,4,1,0,0.99,6.11,0.39,"ERG111",395,0.011515151,177.1411111,-17.75972222,TRUE,0.0364330001175404,NA
"2147",2147,4175,"177.8.57E.17.43.2S","Honeymoon Island","Pacific","Fiji","Mamanucas","",2004,"9-Sep-04",5,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,299.82,298.72,300.8,296,304.95,1.52,5,-0.39,0.84,0,-3.13,3.47,0,4.97,25,5,0,2.77,16.78,1.92,-3.74,1.52,-6.46,2.49,-1.65,0,1.46,6,1,0,1.13,8.1,0.43,"ERG111",395,0.011515151,177.1491667,-17.71722222,TRUE,0.0529140010476112,NA
"2148",2148,4177,"177.8.7E.17.44.15S","Ravanaki House Reef","Pacific","Fiji","Mamanucas","",2004,"25-Oct-04",14,"Bleaching (% of population)",0,1,0,0,FALSE,"",0.25,300.97,300.41,300.79,296.08,304.66,1.51,8,0.28,0.85,0,-3.04,2.93,0,5.18,25,5,0,2.71,18.16,1.94,-2.03,1.51,-6.35,2.22,-1.64,0,1.5,5,1,0,1.12,6.72,0.46,"ERG111",395,0.011515151,177.1352778,-17.7375,TRUE,0.0403629988431931,NA
"2149",2149,4179,"177.8.87E.17.44.41S","Likuliku 4","Pacific","Fiji","Mamanucas","Malolo Island",2004,"3-Sep-04",3,"Bleaching (% of population)",NA,NA,0,0,TRUE,"only did half of transect",0,299.63,299.09,300.8,296,304.95,1.52,5,0.07,0.84,0,-3.13,3.47,0,4.97,25,5,0,2.77,16.78,1.92,-3.37,1.52,-6.46,2.49,-1.65,0,1.46,6,1,0,1.13,8.1,0.43,"ERG111",395,0.011515151,177.1478333,-17.74016667,TRUE,0.0718000009655952,NA
"2150",2150,4181,"177.9.2E.17.44.0S","Nayauu Levu","Pacific","Fiji","Mamanucas","",2004,"3-Nov-04",3,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,301.38,301.06,300.8,296,304.95,1.52,5,0.48,0.84,0,-3.13,3.47,0,4.97,25,5,0,2.77,16.78,1.92,-1.4,1.52,-6.46,2.49,-1.65,0,1.46,6,1,0,1.13,8.1,0.43,"ERG111",395,0.011515151,177.1505556,-17.73333333,TRUE,0.0351095290968079,NA
